epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.961,0.58213,2.39827,1.01352,0.00508,1,0.63911,0.58542,0.49501,2.68895,1.08059,0.000463102,0.000463102,0.000463102
2,812.918,0.61449,1.59193,0.98309,0.56628,0.75,0.79708,0.7484,0.45019,2.24275,1.00875,0.000920834,0.000920834,0.000920834
3,1010.73,0.6272,1.44347,0.97473,0.56814,0.78549,0.675,0.62987,0.44269,2.37042,0.996,0.0013597,0.0013597,0.0013597
4,1220.31,0.59382,1.37947,0.97842,0.8212,0.75,0.78964,0.74952,0.39985,2.69019,1.02987,0.00134412,0.00134412,0.00134412
5,1426.44,0.58421,1.23036,0.9672,0.71718,0.5928,0.73062,0.66747,0.4322,2.55803,0.9935,0.00131582,0.00131582,0.00131582
6,1588.74,0.56721,1.18586,0.95629,1,0.45133,0.73024,0.69428,0.37921,2.94215,1.01323,0.00128753,0.00128753,0.00128753
7,1811.39,0.57841,1.12134,0.95899,0.77644,0.75,0.79014,0.75236,0.38739,1.58354,1.00113,0.00125923,0.00125923,0.00125923
8,1993.67,0.58082,1.09671,0.96893,0.70674,0.74114,0.78916,0.75268,0.4452,2.06122,1.01133,0.00123094,0.00123094,0.00123094
9,2214.9,0.56196,1.02201,0.95183,0.76769,0.72249,0.76971,0.71693,0.41146,2.07335,0.98528,0.00120265,0.00120265,0.00120265
10,2432.48,0.58368,0.99619,0.96322,0.64424,1,0.87208,0.81983,0.4576,1.31411,1.00925,0.00117435,0.00117435,0.00117435
11,2576.42,0.57716,0.95884,0.94224,0.73188,0.69121,0.82536,0.81824,0.36074,2.20511,0.93098,0.00114606,0.00114606,0.00114606
12,2777.2,0.54934,0.94971,0.95431,0.78236,0.86977,0.95333,0.90755,0.37965,1.18173,0.93749,0.00111776,0.00111776,0.00111776
13,2951.61,0.54744,0.93779,0.94411,0.8623,0.96661,0.97,0.93253,0.34829,1.33467,0.93366,0.00108947,0.00108947,0.00108947
14,3097.78,0.53606,0.83163,0.94949,0.80149,0.75,0.79143,0.76473,0.31639,1.41372,0.92163,0.00106118,0.00106118,0.00106118
15,3324.37,0.52074,0.82201,0.93835,0.67163,1,0.945,0.90753,0.34969,1.01295,0.92765,0.00103288,0.00103288,0.00103288
16,3566.21,0.52644,0.75341,0.93809,0.72365,0.7253,0.80417,0.75186,0.44715,1.86614,0.98389,0.00100459,0.00100459,0.00100459
17,3748.82,0.51689,0.77358,0.9363,0.75158,0.72641,0.87556,0.83196,0.3406,1.75463,0.93286,0.000976293,0.000976293,0.000976293
18,3854.2,0.51157,0.7788,0.92887,0.72656,0.71561,0.945,0.89775,0.45635,1.88485,0.97823,0.000947999,0.000947999,0.000947999
19,3960.36,0.52785,0.70446,0.93686,0.87502,0.86611,0.95333,0.90769,0.34962,1.11638,0.97201,0.000919704,0.000919704,0.000919704
20,4065.66,0.52948,0.69597,0.92661,0.72416,0.81382,0.92,0.84776,0.42469,1.87038,1.02002,0.00089141,0.00089141,0.00089141
21,4170.72,0.51209,0.70293,0.91824,0.81243,0.86114,0.95333,0.90142,0.32895,1.33534,0.90844,0.000863116,0.000863116,0.000863116
22,4276.08,0.49337,0.68245,0.91349,0.73669,0.74947,0.97,0.93252,0.3776,1.72001,0.94433,0.000834822,0.000834822,0.000834822
23,4381.04,0.48716,0.6212,0.9163,0.836,0.73805,0.945,0.9014,0.37339,1.36404,0.95974,0.000806528,0.000806528,0.000806528
24,4486.02,0.48782,0.6247,0.92401,0.83603,0.85114,0.9325,0.91071,0.31776,1.19275,0.92204,0.000778233,0.000778233,0.000778233
25,4590.28,0.48193,0.63466,0.92583,0.98274,0.84798,0.88852,0.85548,0.30034,1.98515,0.91233,0.000749939,0.000749939,0.000749939
26,4695.02,0.46229,0.61676,0.90783,0.84122,0.75812,0.94143,0.89579,0.33008,1.34925,0.93476,0.000721645,0.000721645,0.000721645
27,4874.74,0.45472,0.6006,0.91975,0.83715,0.85761,0.995,0.95767,0.31737,0.93063,0.90388,0.000693351,0.000693351,0.000693351
28,5077.27,0.45334,0.57336,0.91225,0.8732,0.8691,0.94143,0.89784,0.31551,0.87681,0.91531,0.000665057,0.000665057,0.000665057
29,5266.2,0.46123,0.57596,0.92443,0.78905,0.84754,0.94143,0.91647,0.32329,1.16489,0.92096,0.000636762,0.000636762,0.000636762
30,5427.02,0.45672,0.59391,0.91947,0.77868,0.72532,0.91018,0.88522,0.3391,1.93664,0.92561,0.000608468,0.000608468,0.000608468
31,5533.77,0.4669,0.57774,0.91673,0.90778,0.84552,0.94143,0.90396,0.30574,1.18219,0.92293,0.000580174,0.000580174,0.000580174
32,5640.28,0.44739,0.59041,0.9034,0.68079,0.95124,0.92,0.87891,0.30228,0.92588,0.91822,0.00055188,0.00055188,0.00055188
33,5744.33,0.44234,0.51727,0.9081,0.75573,0.86812,0.89708,0.87463,0.30727,1.10582,0.9356,0.000523586,0.000523586,0.000523586
34,5848,0.4426,0.50843,0.90767,0.78593,0.87255,0.995,0.96179,0.30527,0.97441,0.91114,0.000495291,0.000495291,0.000495291
35,5951.55,0.43666,0.5015,0.90238,0.7464,0.85268,0.995,0.93582,0.33463,1.29566,0.92557,0.000466997,0.000466997,0.000466997
