epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.734,0.62931,3.07484,1.10532,0.00597,1,0.62125,0.56636,0.35689,3.64904,0.99248,0.00010003,0.00010003,0.00010003
2,54.7194,0.52698,2.57857,1.03048,0.00548,1,0.58042,0.53688,0.34709,3.45502,1.00466,0.000212228,0.000212228,0.000212228
3,79.5404,0.62457,2.07971,1.1044,0.00521,1,0.67125,0.6031,0.41954,3.24577,1.02873,0.000322162,0.000322162,0.000322162
4,106.325,0.57056,2.00375,1.03195,0.0052,1,0.67333,0.61572,0.36447,3.09876,1.03138,0.000429833,0.000429833,0.000429833
5,132.189,0.55159,1.89844,1.03789,0.3129,0.42337,0.67333,0.61428,0.43159,2.82466,1.10365,0.000535241,0.000535241,0.000535241
6,159.629,0.60858,1.93821,1.03181,0.0492,1,0.69268,0.61386,0.41573,2.99425,1.05428,0.000638384,0.000638384,0.000638384
7,185.208,0.55999,1.73057,1.00363,0.75371,0.74229,0.68804,0.62127,0.45419,2.5731,1.11699,0.000739265,0.000739265,0.000739265
8,208.891,0.54439,1.73324,0.99334,0.74921,0.83803,0.71929,0.65028,0.47264,2.67426,1.0951,0.000837881,0.000837881,0.000837881
9,232.665,0.57059,1.77125,1.06469,0.5392,1,0.65271,0.59719,0.46014,2.34589,1.06513,0.000934234,0.000934234,0.000934234
10,256.185,0.60305,1.67822,1.04417,0.46534,0.94706,0.67271,0.61576,0.41932,2.23691,1.0544,0.00102832,0.00102832,0.00102832
11,279.812,0.62602,1.81855,1.06592,0.48818,0.98433,0.62679,0.57025,0.47344,2.39024,1.09328,0.00112015,0.00112015,0.00112015
12,303.683,0.57625,1.69229,0.98958,0.47265,0.92038,0.70417,0.66568,0.44429,2.68669,1.07492,0.00120971,0.00120971,0.00120971
